WKT,fishing_category_FO,mw_fishinghours,ecoregion,stat_rec,c_square,lat,lon
"POLYGON ((-26.6 42.0,-26.6 42.05,-26.55 42.05,-26.55 42.0,-26.6 42.0))",Static,0.0951289583333332,Azores,13C3,7402:226:205:2,42.025,-26.575
"POLYGON ((-35.35 38.4,-35.35 38.45,-35.3 38.45,-35.3 38.4,-35.35 38.4))",Static,0.141636875,Azores,05B4,7303:485:143:1,38.425,-35.325
"POLYGON ((-34.4 38.95,-34.4 39.0,-34.35 39.0,-34.35 38.95,-34.4 38.95))",Static,0.12296375,Azores,06B5,7303:384:393:4,38.975,-34.375
"POLYGON ((-21.85 36.85,-21.85 36.9,-21.8 36.9,-21.8 36.85,-21.85 36.85))",Static,0.1258148,Azores,02C8,7302:361:488:3,36.875,-21.825
"POLYGON ((-22.9 39.85,-22.9 39.9,-22.85 39.9,-22.85 39.85,-22.9 39.85))",Static,0.0775338145833332,Azores,08C7,7302:392:488:4,39.875,-22.875
"POLYGON ((-34.7 38.7,-34.7 38.75,-34.65 38.75,-34.65 38.7,-34.7 38.7))",Static,0.212064361111111,Azores,06B5,7303:384:476:2,38.725,-34.675
"POLYGON ((-35.35 40.5,-35.35 40.55,-35.3 40.55,-35.3 40.5,-35.35 40.5))",Static,0.21145145,Azores,10B4,7403:205:353:1,40.525,-35.325
"POLYGON ((-34.85 37.95,-34.85 38.0,-34.8 38.0,-34.8 37.95,-34.85 37.95))",Static,0.21145145,Azores,04B5,7303:374:498:3,37.975,-34.825
"POLYGON ((-31.15 37.25,-31.15 37.3,-31.1 37.3,-31.1 37.25,-31.15 37.25))",Static,0.065643275,Azores,03B8,7303:371:121:3,37.275,-31.125
"POLYGON ((-30.0 36.1,-30.0 36.15,-29.95 36.15,-29.95 36.1,-30.0 36.1))",Static,0.12296375,Azores,01C0,7302:469:219:2,36.125,-29.975
"POLYGON ((-31.25 37.5,-31.25 37.55,-31.2 37.55,-31.2 37.5,-31.25 37.5))",Static,0.125814791666667,Azores,04B8,7303:371:352:1,37.525,-31.225
"POLYGON ((-34.55 40.55,-34.55 40.6,-34.5 40.6,-34.5 40.55,-34.55 40.55))",Static,0.0616591666666668,Azores,10B5,7403:104:455:3,40.575,-34.525
"POLYGON ((-29.5 36.1,-29.5 36.15,-29.45 36.15,-29.45 36.1,-29.5 36.1))",Static,0.12296375,Azores,01C0,7302:469:114:2,36.125,-29.475
"POLYGON ((-22.25 39.1,-22.25 39.15,-22.2 39.15,-22.2 39.1,-22.25 39.1))",Static,0.065643275,Azores,07C7,7302:392:112:1,39.125,-22.225
"POLYGON ((-34.55 38.35,-34.55 38.4,-34.5 38.4,-34.5 38.35,-34.55 38.35))",Static,0.078203325,Azores,05B5,7303:384:235:3,38.375,-34.525
"POLYGON ((-35.1 39.2,-35.1 39.25,-35.05 39.25,-35.05 39.2,-35.1 39.2))",Static,0.147880675,Azores,07B4,7303:495:120:2,39.225,-35.075
"POLYGON ((-35.0 38.15,-35.0 38.2,-34.95 38.2,-34.95 38.15,-35.0 38.15))",Static,0.256374675,Azores,05B5,7303:384:219:4,38.175,-34.975
"POLYGON ((-30.75 38.25,-30.75 38.3,-30.7 38.3,-30.7 38.25,-30.75 38.25))",Static,1.50575,Azores,05B9,7303:380:227:3,38.275,-30.725
"POLYGON ((-34.9 41.2,-34.9 41.25,-34.85 41.25,-34.85 41.2,-34.9 41.2))",Static,0.084227925,Azores,11B5,7403:114:228:2,41.225,-34.875
"POLYGON ((-29.6 37.9,-29.6 37.95,-29.55 37.95,-29.55 37.9,-29.6 37.9))",Static,2.315,Azores,04C0,7302:479:495:2,37.925,-29.575
"POLYGON ((-32.85 37.35,-32.85 37.4,-32.8 37.4,-32.8 37.35,-32.85 37.35))",Static,0.789855925,Azores,03B7,7303:372:238:3,37.375,-32.825
"POLYGON ((-33.2 37.7,-33.2 37.75,-33.15 37.75,-33.15 37.7,-33.2 37.7))",Static,0.1229925,Azores,04B6,7303:373:371:2,37.725,-33.175
"POLYGON ((-33.5 38.5,-33.5 38.55,-33.45 38.55,-33.45 38.5,-33.5 38.5))",Static,0.066171875,Azores,06B6,7303:383:354:2,38.525,-33.475
"POLYGON ((-32.4 37.05,-32.4 37.1,-32.35 37.1,-32.35 37.05,-32.4 37.05))",Static,0.0753675,Azores,03B7,7303:372:103:4,37.075,-32.375
"POLYGON ((-28.8 38.55,-28.8 38.6,-28.75 38.6,-28.75 38.55,-28.8 38.55))",Static,0.10064895,Azores,06C1,7302:488:457:4,38.575,-28.775
"POLYGON ((-28.7 41.75,-28.7 41.8,-28.65 41.8,-28.65 41.75,-28.7 41.75))",Static,0.14096605,Azores,12C1,7402:218:476:4,41.775,-28.675
"POLYGON ((-29.35 42.0,-29.35 42.05,-29.3 42.05,-29.3 42.0,-29.35 42.0))",Static,0.204402925,Azores,13C0,7402:229:103:1,42.025,-29.325
"POLYGON ((-31.8 41.85,-31.8 41.9,-31.75 41.9,-31.75 41.85,-31.8 41.85))",Static,0.1258148,Azores,12B8,7403:111:487:4,41.875,-31.775
"POLYGON ((-28.6 38.35,-28.6 38.4,-28.55 38.4,-28.55 38.35,-28.6 38.35))",Static,0.7046625,Azores,05C1,7302:488:235:4,38.375,-28.575
"POLYGON ((-24.8 41.5,-24.8 41.55,-24.75 41.55,-24.75 41.5,-24.8 41.5))",Static,0.0775338145833332,Azores,12C5,7402:114:457:2,41.525,-24.775
"POLYGON ((-30.55 42.15,-30.55 42.2,-30.5 42.2,-30.5 42.15,-30.55 42.15))",Static,0.073917625,Azores,13B9,7403:120:215:3,42.175,-30.525
"POLYGON ((-32.6 42.65,-32.6 42.7,-32.55 42.7,-32.55 42.65,-32.6 42.65))",Static,0.14724325,Azores,14B7,7403:122:465:4,42.675,-32.575
"POLYGON ((-34.7 39.8,-34.7 39.85,-34.65 39.85,-34.65 39.8,-34.7 39.8))",Static,0.09346965,Azores,08B5,7303:394:486:2,39.825,-34.675
"POLYGON ((-27.45 41.75,-27.45 41.8,-27.4 41.8,-27.4 41.75,-27.45 41.75))",Static,0.038498625,Azores,12C2,7402:217:374:3,41.775,-27.425
"POLYGON ((-35.55 39.9,-35.55 39.95,-35.5 39.95,-35.5 39.9,-35.55 39.9))",Static,0.0750362,Azores,08B4,7303:495:495:1,39.925,-35.525
"POLYGON ((-27.0 41.3,-27.0 41.35,-26.95 41.35,-26.95 41.3,-27.0 41.3))",Static,0.0505525,Azores,11C3,7402:216:239:2,41.325,-26.975
"POLYGON ((-29.4 36.8,-29.4 36.85,-29.35 36.85,-29.35 36.8,-29.4 36.8))",Static,0.12578125,Azores,02C0,7302:469:383:2,36.825,-29.375
"POLYGON ((-26.5 41.1,-26.5 41.15,-26.45 41.15,-26.45 41.1,-26.5 41.1))",Static,0.0504597083333333,Azores,11C3,7402:216:114:2,41.125,-26.475
"POLYGON ((-27.55 36.55,-27.55 36.6,-27.5 36.6,-27.5 36.55,-27.55 36.55))",Static,0.0753675,Azores,02C2,7302:467:455:3,36.575,-27.525
"POLYGON ((-31.05 37.3,-31.05 37.35,-31.0 37.35,-31.0 37.3,-31.05 37.3))",Static,0.0616591666666668,Azores,03B8,7303:371:130:1,37.325,-31.025
"POLYGON ((-34.35 38.7,-34.35 38.75,-34.3 38.75,-34.3 38.7,-34.35 38.7))",Static,0.078184,Azores,06B5,7303:384:373:1,38.725,-34.325
"POLYGON ((-21.55 36.85,-21.55 36.9,-21.5 36.9,-21.5 36.85,-21.55 36.85))",Static,0.0951289583333332,Azores,02C8,7302:361:485:3,36.875,-21.525
"POLYGON ((-34.8 39.4,-34.8 39.45,-34.75 39.45,-34.75 39.4,-34.8 39.4))",Static,0.14044325,Azores,07B5,7303:394:247:2,39.425,-34.775
"POLYGON ((-32.35 36.6,-32.35 36.65,-32.3 36.65,-32.3 36.6,-32.35 36.6))",Static,0.204402925,Azores,02B7,7303:362:363:1,36.625,-32.325
"POLYGON ((-29.6 37.95,-29.6 38.0,-29.55 38.0,-29.55 37.95,-29.6 37.95))",Static,1.29825,Azores,04C0,7302:479:495:4,37.975,-29.575
"POLYGON ((-33.15 37.05,-33.15 37.1,-33.1 37.1,-33.1 37.05,-33.15 37.05))",Static,0.0919373425,Azores,03B6,7303:373:101:3,37.075,-33.125
"POLYGON ((-34.6 38.1,-34.6 38.15,-34.55 38.15,-34.55 38.1,-34.6 38.1))",Static,0.0758900833333332,Azores,05B5,7303:384:215:2,38.125,-34.575
"POLYGON ((-31.65 36.95,-31.65 37.0,-31.6 37.0,-31.6 36.95,-31.65 36.95))",Static,0.12578125,Azores,02B8,7303:361:496:3,36.975,-31.625
"POLYGON ((-33.65 40.9,-33.65 40.95,-33.6 40.95,-33.6 40.9,-33.65 40.9))",Static,0.07751,Azores,10B6,7403:103:496:1,40.925,-33.625
"POLYGON ((-30.3 36.85,-30.3 36.9,-30.25 36.9,-30.25 36.85,-30.3 36.85))",Static,0.0959561666666667,Azores,02B9,7303:360:382:4,36.875,-30.275
"POLYGON ((-34.95 40.75,-34.95 40.8,-34.9 40.8,-34.9 40.75,-34.95 40.75))",Static,0.06673655,Azores,10B5,7403:104:479:3,40.775,-34.925
